"book_id","goodreads_book_id","authors","title","average_rating","ratings_1","ratings_2","ratings_3","ratings_4","ratings_5","image_url","top_1","top_2","top_3","top_4","top_5"
1,2767052,"Suzanne Collins","The Hunger Games (The Hunger Games, #1)",4.5,66715,127936,560092,1481305,2706317,"https://images.gr-assets.com/books/1447303603m/2767052.jpg","young adult","fiction","dystopian","dystopian","fantasy"
2,3,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.5,75504,101676,455024,1156318,3011543,"https://images.gr-assets.com/books/1474154022m/3.jpg","fantasy","young adult","fiction","young adult","magic"
3,41865,"Stephenie Meyer","Twilight (Twilight, #1)",3.5,456191,436802,793319,875073,1355439,"https://images.gr-assets.com/books/1361039443m/41865.jpg","young adult","fantasy","vampires","young adult","fiction"
4,2657,"Harper Lee","To Kill a Mockingbird",4,60427,117415,446835,1001952,1714267,"https://images.gr-assets.com/books/1361975680m/2657.jpg","classics","classics","historical-fiction","school","classics"
5,4671,"F. Scott Fitzgerald","The Great Gatsby",4,86236,197621,606158,936012,947718,"https://images.gr-assets.com/books/1490528560m/4671.jpg","classics","fiction","classics","literature","school"
6,11870085,"John Green","The Fault in Our Stars",4.5,47994,92723,327550,698471,1311871,"https://images.gr-assets.com/books/1360206420m/11870085.jpg","young adult","fiction","young adult","romance","contemporary"
7,5907,"J.R.R. Tolkien","The Hobbit",4,46023,76784,288649,665635,1119718,"https://images.gr-assets.com/books/1372847500m/5907.jpg","fantasy","classics","fiction","classics","adventure"
8,5107,"J.D. Salinger","The Catcher in the Rye",4,109383,185520,455042,661516,709176,"https://images.gr-assets.com/books/1398034300m/5107.jpg","classics","fiction","classics","young adult","literature"
9,960,"Dan Brown","Angels & Demons  (Robert Langdon, #1)",4,77841,145740,458429,716569,680175,"https://images.gr-assets.com/books/1303390735m/960.jpg","fiction","mystery","thriller","suspense","adventure"
10,1885,"Jane Austen","Pride and Prejudice",4,54700,86485,284852,609755,1155673,"https://images.gr-assets.com/books/1320399351m/1885.jpg","classics","fiction","romance","classics","historical-fiction"
11,77203,"Khaled Hosseini","The Kite Runner",4.5,34288,59980,226062,628174,929591,"https://images.gr-assets.com/books/1484565687m/77203.jpg","fiction","historical-fiction","contemporary","afghanistan","classics"
12,13335037,"Veronica Roth","Divergent (Divergent, #1)",4,36315,82870,310297,673028,1114304,"https://images.gr-assets.com/books/1328559506m/13335037.jpg","young adult","dystopian","young adult","fiction","fantasy"
13,5470,"George Orwell, Erich Fromm, Celâl Üster","1984",4,41845,86425,324874,692021,908229,"https://images.gr-assets.com/books/1348990566m/5470.jpg","fiction","science fiction","science fiction","dystopian","classics"
14,7613,"George Orwell","Animal Farm",4,66854,135147,433432,698642,648912,"https://images.gr-assets.com/books/1424037542m/7613.jpg","classics","fiction","classics","dystopian","fantasy"
