"book_id","goodreads_book_id","isbn","authors","title","average_rating","ratings_count","work_ratings_count","work_text_reviews_count","ratings_1","ratings_2","ratings_3","ratings_4","ratings_5","top_1","top_2","top_3","top_4","top_5"
1,2767052,"439023483","Suzanne Collins","The Hunger Games (The Hunger Games, #1)",4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,"young adult","fiction","dystopian","dystopian","fantasy"
2,3,"439554934","J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,"fantasy","young adult","fiction","young adult","magic"
3,41865,"316015849","Stephenie Meyer","Twilight (Twilight, #1)",3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439,"young adult","fantasy","vampires","young adult","fiction"
4,2657,"61120081","Harper Lee","To Kill a Mockingbird",4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,"classics","classics","historical-fiction","school","classics"
5,4671,"743273567","F. Scott Fitzgerald","The Great Gatsby",3.89,2683664,2773745,51992,86236,197621,606158,936012,947718,"classics","fiction","classics","literature","school"
6,11870085,"525478817","John Green","The Fault in Our Stars",4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,"young adult","fiction","young adult","romance","contemporary"
7,5907,"618260307","J.R.R. Tolkien","The Hobbit",4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718,"fantasy","classics","fiction","classics","adventure"
8,5107,"316769177","J.D. Salinger","The Catcher in the Rye",3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,"classics","fiction","classics","young adult","literature"
9,960,"1416524797","Dan Brown","Angels & Demons  (Robert Langdon, #1)",3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,"fiction","mystery","thriller","suspense","adventure"
10,1885,"679783261","Jane Austen","Pride and Prejudice",4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,"classics","fiction","romance","classics","historical-fiction"
11,77203,"1594480001","Khaled Hosseini","The Kite Runner",4.26,1813044,1878095,59730,34288,59980,226062,628174,929591,"fiction","historical-fiction","contemporary","afghanistan","classics"
12,13335037,"62024035","Veronica Roth","Divergent (Divergent, #1)",4.24,1903563,2216814,101023,36315,82870,310297,673028,1114304,"young adult","dystopian","young adult","fiction","fantasy"
13,5470,"451524934","George Orwell, Erich Fromm, Celâl Üster","1984",4.14,1956832,2053394,45518,41845,86425,324874,692021,908229,"fiction","science fiction","science fiction","dystopian","classics"
14,7613,"452284244","George Orwell","Animal Farm",3.87,1881700,1982987,35472,66854,135147,433432,698642,648912,"classics","fiction","classics","dystopian","fantasy"
15,48855,"553296981","Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday","The Diary of a Young Girl",4.1,1972666,2024493,20825,45225,91270,355756,656870,875372,"non-fiction","classics","history","biography","non-fiction"
16,2429135,"307269752","Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,1929834,62543,54835,86051,285413,667485,836050,"fiction","mystery","thriller","crime","suspense"
17,6148028,"439023491","Suzanne Collins","Catching Fire (The Hunger Games, #2)",4.3,1831039,1988079,88538,10492,48030,262010,687238,980309,"young adult","dystopian","fantasy","science fiction","romance"
18,5,"043965548X","J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,1969375,36099,6716,20413,166129,509447,1266670,"fantasy","young adult","fiction","young adult","magic"
19,34,"618346252","J.R.R. Tolkien","The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803,1832541,15333,38031,55862,202332,493922,1042394,"fantasy","classics","fiction","classics","adventure"
20,7260188,"439023513","Suzanne Collins","Mockingjay (The Hunger Games, #3)",4.03,1719760,1870748,96274,30144,110498,373060,618271,738775,"young adult","dystopian","fiction","dystopian","young adult"
21,2,"439358078","J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,"fantasy","children","children","fiction","young adult"
22,12232938,"316166685","Alice Sebold","The Lovely Bones",3.77,1605173,1661562,36642,62777,131188,404699,583575,479323,"fiction","mystery","young adult","contemporary","fantasy"
23,15881,"439064864","J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,1906199,34172,8253,42251,242345,548266,1065084,"fantasy","young adult","fiction","young adult","magic"
24,6,"439139600","J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,"fantasy","young adult","fiction","young adult","children"
25,136251,"545010225","J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,"fantasy","young adult","fiction","young adult","magic"
26,968,"307277674","Dan Brown","The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,"fiction","thriller","suspense","historical-fiction","adventure"
27,1,"439785960","J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,"fantasy","young adult","fiction","young adult","magic"
28,7624,"140283331","William Golding","Lord of the Flies",3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,"classics","fiction","classics","young adult","school"
29,18135,"743477111","William Shakespeare, Robert           Jackson","Romeo and Juliet",3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,"classics","plays","fiction","romance","classics"
30,8442457,"297859382","Gillian Flynn","Gone Girl",4.03,512475,1626519,121614,38874,80807,280331,616031,610476,"mystery","crime","fiction","contemporary","thriller"
31,4667024,"399155341","Kathryn Stockett","The Help",4.45,1531753,1603545,78204,10235,25117,134887,490754,942552,"fiction","historical-fiction","historical","adult","adult-fiction"
