tag_type,tag
top_1,classics
top_3,classics
top_4,young adult
top_5,literature
top_3,food
top_4,health
top_5,sociology
top_1,young adult
top_2,young adult
top_3,contemporary
top_5,romance
top_2,historical-fiction
top_3,japan
top_4,classics
top_5,historical
top_2,japan
top_3,japanese
top_4,romance
top_5,contemporary
top_2,classics
top_3,short-stories
top_4,literature
top_5,classics
top_2,biography
top_3,humor
top_5,autobiography
top_2,science fiction
top_3,historical-fiction
top_4,science fiction
top_5,american
top_1,classics
top_3,historical-fiction
top_4,classics
top_5,russian
top_1,classics
top_3,historical-fiction
top_4,romance
top_5,classics
top_1,classics
top_2,poetry
top_4,classics
top_5,literature
top_1,classics
top_3,french
top_4,literature
top_5,france
top_2,classics
top_3,philosophy
top_4,literature
top_5,greek
top_2,classics
top_3,philosophy
top_4,literature
top_5,czech
top_1,classics
top_3,classics
top_4,historical-fiction
top_5,literature
top_2,classics
top_3,classics
top_4,literature
top_5,american
top_1,historical-fiction
top_2,classics
top_3,latin-america
top_5,literary-fiction
top_1,fantasy
top_2,young adult
top_3,young adult
top_4,romance
top_5,fairy-tales
top_1,fantasy
top_2,romance
top_4,fantasy
top_5,science fiction
top_2,india
top_3,booker-prize
top_4,historical-fiction
top_5,man-booker-prize
top_2,short-stories
top_3,india
top_4,contemporary
top_5,literature
top_2,religion
top_3,science
top_4,philosophy
top_1,literature
top_2,fantasy
top_4,philosophy
top_5,classics
top_1,fantasy
top_3,historical-fiction
top_4,historical
top_5,magic
top_1,classics
top_3,classics
top_4,literature
top_5,school
top_2,classics
top_3,rory-gilmore-reading-challenge
top_4,literature
top_5,classics
top_2,philosophy
top_3,spirituality
top_4,spirituality
top_5,classics
top_2,classics
top_3,christianity
top_4,religion
top_5,christianity
top_2,classics
top_3,magical-realism
top_4,literature
top_5,school
top_1,classics
top_3,romance
top_4,classics
top_5,historical-fiction
top_1,classics
top_2,literature
top_3,classics
top_4,latin-america
top_5,novel
top_1,philosophy
top_4,classics
top_1,american-literature
top_2,short-story-collections
top_3,20th-century
top_4,stories
top_5,short-fiction
top_1,classics
top_3,literature
top_4,romance
top_5,british
top_2,true-crime
top_5,crime
top_2,literature
top_3,czech
top_4,milan-kundera
top_5,kundera
top_2,turkey
top_3,literature
top_4,contemporary
top_5,turkish
top_2,historical-fiction
top_3,mystery
top_4,turkey
top_5,literature
top_1,biography
top_2,travel
top_5,middle-east
top_2,mystery
top_3,historical-fiction
top_4,literature
top_5,classics
top_1,short-stories
top_3,japan
top_4,japanese
top_5,japanese-literature
top_2,magical-realism
top_3,japan
top_4,fantasy
top_5,japanese
top_2,japan
top_3,japanese
top_4,murakami
top_5,magical-realism
top_1,short-stories
top_2,murakami
top_4,magical-realism
top_5,literature
